ID,ls,submitted,action,size,symbol,price,type,status,fill_price,filled_or_cancelled
35,S,2020-10-20,SELL,100,IVV,344.57,MKT,FILLED,344.57,2020-10-20
35,S,2020-10-20,BUY,100,IVV,337.68,LIMIT,FILLED,336.81,2020-10-26
34,S,2020-09-09,BUY,100,IVV,334.36,LIMIT,FILLED,334.21,2020-09-10
34,S,2020-09-09,SELL,100,IVV,341.18,MKT,FILLED,341.18,2020-09-09
33,S,2020-08-26,BUY,100,IVV,342.02,LIMIT,CANCELLED,,2020-09-02
33,S,2020-09-02,BUY,100,IVV,359.24,MKT,FILLED,359.24,2020-09-02
33,S,2020-08-26,SELL,100,IVV,349.0,MKT,FILLED,349.0,2020-08-26
32,S,2020-08-25,BUY,100,IVV,338.58,LIMIT,CANCELLED,,2020-09-01
32,S,2020-09-01,BUY,100,IVV,354.06,MKT,FILLED,354.06,2020-09-01
32,S,2020-08-25,SELL,100,IVV,345.49,MKT,FILLED,345.49,2020-08-25
31,S,2020-08-10,BUY,100,IVV,330.22,LIMIT,CANCELLED,,2020-08-17
31,S,2020-08-17,BUY,100,IVV,339.28,MKT,FILLED,339.28,2020-08-17
31,S,2020-08-10,SELL,100,IVV,336.96,MKT,FILLED,336.96,2020-08-10
30,S,2020-08-07,SELL,100,IVV,335.95,MKT,FILLED,335.95,2020-08-07
30,S,2020-08-07,BUY,100,IVV,329.23,LIMIT,CANCELLED,,2020-08-14
30,S,2020-08-14,BUY,100,IVV,338.19,MKT,FILLED,338.19,2020-08-14
29,S,2020-07-27,SELL,100,IVV,324.5,MKT,FILLED,324.5,2020-07-27
29,S,2020-08-03,BUY,100,IVV,330.11,MKT,FILLED,330.11,2020-08-03
29,S,2020-07-27,BUY,100,IVV,318.01,LIMIT,CANCELLED,,2020-08-03
28,L,2020-07-23,SELL,100,IVV,330.68,LIMIT,CANCELLED,,2020-07-30
28,L,2020-07-30,SELL,100,IVV,325.26,MKT,FILLED,325.26,2020-07-30
28,L,2020-07-23,BUY,100,IVV,324.2,MKT,FILLED,324.2,2020-07-23
27,S,2020-05-11,BUY,100,IVV,287.58,LIMIT,FILLED,287.46,2020-05-12
27,S,2020-05-11,SELL,100,IVV,293.45,MKT,FILLED,293.45,2020-05-11
26,L,2020-02-20,SELL,100,IVV,345.26,LIMIT,CANCELLED,,2020-02-27
26,L,2020-02-27,SELL,100,IVV,298.71,MKT,FILLED,298.71,2020-02-27
26,L,2020-02-20,BUY,100,IVV,338.49,MKT,FILLED,338.49,2020-02-20
25,L,2020-01-27,SELL,100,IVV,331.37,LIMIT,CANCELLED,,2020-02-03
25,L,2020-02-03,SELL,100,IVV,325.56,MKT,FILLED,325.56,2020-02-03
